SITE_ID,Lat,Lon,DOC_Median,TN_Median,TP_Median,TNtoTP_Median,TPtoTN
NLA06608-0185,41.1113046,-75.4575046,4.01,284,9,31.55555556,0.031690141
NLA06608-0189,40.0294239,-80.5793985,3.92,759.5,71,10.64045954,0.093980903
NLA06608-0190,47.6725431,-93.7594914,10.52,666,16,41.625,0.024024024
NLA06608-0191,35.1678348,-83.6670913,1.05,48,1,48,0.020833333
NLA06608-0193,48.7043858,-121.1758404,1.07,71,3,23.66666667,0.042253521
NLA06608-0195,46.8919755,-99.0810106,16.66,1955,447,4.37360179,0.228644501
NLA06608-0196,38.7769252,-88.0616458,6.35,1250,94,13.29787234,0.0752
NLA06608-0198,41.713076,-70.0895413,1.99,353,25,14.12,0.07082153
NLA06608-0201,39.1122501,-120.4416484,1.47,40,3,13.33333333,0.075
NLA06608-0203,34.0063327,-87.3160987,1.71,239,1,239,0.0041841
NLA06608-0204,35.4359245,-99.2419746,7.26,1355,125,10.84,0.092250923
NLA06608-0207,32.6030125,-84.818076,4.11,401.5,16,25.35317461,0.039442792
NLA06608-0208,35.583845,-90.9632959,5.12,1687,162,10.41358025,0.096028453
NLA06608-0209,47.57601,-122.0836788,2.58,203,5,42.375,0.02359882
NLA06608-0211,47.4653421,-95.7698221,16.91,1340,42,31.9047619,0.031343284
NLA06608-0212,39.0276686,-86.468475,3,88,8,11,0.090909091
NLA06608-0215,45.2593824,-94.9644135,7.95,1463,83,17.62650602,0.056732741
NLA06608-0216,40.3285507,-96.5287762,10.93,1367,619,2.208400646,0.452816386
NLA06608-0217,36.1528831,-79.1460479,7.1,508,6,84.66666667,0.011811024
NLA06608-0219,41.4004365,-85.3710292,10.91,1826,36,50.72222222,0.019715225
NLA06608-0220,42.5046548,-100.5303638,114.54,22613,872,25.93233945,0.038561889
NLA06608-0221,37.2991359,-76.8212295,6.11,594,38,15.63157895,0.063973064
NLA06608-0222,48.4068932,-102.9398075,22.93,2008,114,17.61403509,0.056772908
NLA06608-0223,33.58413,-84.2075299,3.235,637,44.5,14.33358586,0.069766213
NLA06608-0224,37.6478366,-90.5898421,3.495,334,10.5,37.60714286,0.026590693
NLA06608-0225,47.4803998,-112.5389845,3.125,318,25,21.75,0.045977011
NLA06608-0226,43.1995256,-71.2474086,3.69,328,8,41,0.024390244
NLA06608-0228,38.0621971,-103.6093941,5.525,559,60.5,11.85791667,0.084331846
NLA06608-0229,43.9529554,-74.449008,4.23,219,4,54.75,0.01826484
NLA06608-0234,43.2185569,-85.4679966,6.21,584,14,41.71428571,0.023972603
NLA06608-0235,41.3229061,-85.7547779,7.8,626,8,78.25,0.012779553
NLA06608-0237,38.3884904,-115.1177953,5.915,633,24,26.49913044,0.037737087
NLA06608-0238,46.5788167,-94.1753168,3.17,265,7,37.85714286,0.026415094
NLA06608-0239,35.0189509,-85.5598072,2.07,383,36,10.63888889,0.093994778
NLA06608-0240,48.4775695,-107.5902123,5.02,396,14,28.28571429,0.035353535
NLA06608-0241,42.2915429,-111.7292621,3.18,774,80,9.675,0.103359173
NLA06608-0242,41.568323,-71.9105117,4.74,300,20,15,0.066666667
NLA06608-0243,44.7364729,-100.7421974,3.31,203,7,29,0.034482759
NLA06608-0244,33.739388,-99.2319984,4.66,436,15,29.06666667,0.03440367
NLA06608-0245,38.3639678,-122.1300516,3.75,329,11,29.90909091,0.03343465
NLA06608-0247,43.5347421,-96.96004,12.69,1625,202,8.044554455,0.124307692
NLA06608-0253,32.4773684,-81.8306872,13.05,968,127,7.622047244,0.131198347
NLA06608-0254,47.9667831,-99.0949499,16.3,2816,175,16.09142857,0.062144886
NLA06608-0255,35.9483577,-85.3193018,4.19,276,4,69,0.014492754
NLA06608-0257,48.5413951,-115.2253416,1.67,79,1,79,0.012658228
NLA06608-0259,46.3742121,-98.9912397,21.94,3172,613,5.174551387,0.193253468
NLA06608-0260,36.6734362,-106.6907196,2.44,136,8,17,0.058823529
NLA06608-0268,35.5084897,-96.3212198,7.21,464,20,23.2,0.043103448
NLA06608-0271,40.4778707,-83.8790661,5.59,857,99,8.656565657,0.115519253
NLA06608-0275,46.2719907,-99.3808764,26.13,3084,331,9.317220544,0.107328145
NLA06608-0276,38.776371,-105.0043919,2.02,254,7,36.28571429,0.027559055
NLA06608-0277,42.6781739,-113.4006122,2.33,451,117,3.854700855,0.259423503
NLA06608-0279,44.1924423,-93.8978566,18.8,4600,239,19.24686192,0.051956522
NLA06608-0280,32.0898949,-95.8942635,15.41,1229,81,15.17283951,0.065907242
NLA06608-0281,35.4945748,-80.5755984,5.36,639,44,14.52272727,0.06885759
NLA06608-0283,32.512331,-87.8525746,2.39,381,33,11.54545455,0.086614173
NLA06608-0284,34.9138437,-98.7302798,4.37,865,79,10.94936709,0.09132948
NLA06608-0285,38.5594875,-75.5622731,3.67,4222,138,30.5942029,0.032685931
NLA06608-0286,46.1522509,-88.8297036,4.46,413,5,82.6,0.012106538
NLA06608-0290,42.1956515,-120.5256858,5.74,752,403.5,1.745391294,0.572937429
NLA06608-0291,43.8138206,-88.9978482,4.33,553,13,42.53846154,0.023508137
NLA06608-0293,41.3842605,-73.5031636,4.31,759,30,25.3,0.039525692
NLA06608-0294,44.9522307,-72.1151732,2.33,343,1,343,0.002915452
NLA06608-0295,45.1874723,-97.6317641,17.18,2026,242,8.371900826,0.119447187
NLA06608-0297,33.8409705,-81.6720716,5.83,587,31,18.93548387,0.052810903
NLA06608-0299,41.4566006,-85.2449775,8.07,915,18,50.83333333,0.019672131
NLA06608-0302,45.9170388,-97.0242615,38.4,6934,1871,3.706039551,0.269829824
NLA06608-0303,41.0880567,-82.7283796,6.45,1523,79,19.27848101,0.051871307
NLA06608-0306,43.4178827,-119.4133477,9.64,1525,271,5.627306273,0.177704918
NLA06608-0312,38.8171746,-95.5463905,5.83,355,35,10.14285714,0.098591549
NLA06608-0313,34.8860267,-79.6893777,5.03,279,24,11.625,0.086021505
NLA06608-0318,47.4614856,-92.4346949,8.57,847,43,19.69767442,0.050767414
NLA06608-0319,34.7222982,-83.1120486,2.08,251,16,15.6875,0.06374502
NLA06608-0324,36.944209,-82.2027152,2.72,248,21,11.80952381,0.084677419
NLA06608-0325,28.5636945,-81.4379489,12.48,814,50,16.28,0.061425061
NLA06608-0326,41.3571949,-72.0401264,3.38,225,5,45,0.022222222
NLA06608-0327,31.7097369,-91.3712494,3.48,281,13,21.61538462,0.046263345
NLA06608-0328,32.515555,-93.8702343,9.305,1085.5,77.5,14.04819579,0.071183518
NLA06608-0330,45.0629159,-83.4569855,4.37,289,13,22.23076923,0.044982699
NLA06608-0332,35.6405438,-94.9696952,2.16,260,11,23.63636364,0.042307692
NLA06608-0333,40.6280332,-74.8505684,3.03,282,15,18.8,0.053191489
NLA06608-0334,48.3140559,-100.758717,17.18,1834,142,12.91549296,0.07742639
NLA06608-0337,48.3938239,-122.6562431,14.08,586,23,25.47826087,0.039249147
NLA06608-0339,46.1144387,-99.4245298,17.45,1659,376,4.412234043,0.226642556
NLA06608-0340,35.6907977,-105.8760128,6.5,333,23,14.47826087,0.069069069
NLA06608-0341,43.2084934,-75.9351619,3.24,333,23,14.47826087,0.069069069
NLA06608-0343,44.871734,-96.6353204,16.95,2606,117,22.27350427,0.044896393
NLA06608-0344,40.9644058,-96.8765715,7.1,848,53,16,0.0625
NLA06608-0345,36.6584792,-79.8441122,3.72,511,22,23.22727273,0.043052838
NLA06608-0350,45.7646886,-90.6606696,14.52,902,18,50.11111111,0.019955654
NLA06608-0354,42.513169,-71.8070414,2.29,188,5,37.6,0.026595745
NLA06608-0356,36.5624187,-104.5942811,9.47,2897,167,17.34730539,0.057645841
NLA06608-0357,42.3128049,-73.1377874,4.39,276,14,19.71428571,0.050724638
NLA06608-0358,44.8402587,-71.1347965,5.45,209,7,29.85714286,0.033492823
NLA06608-0359,45.4086013,-96.6263625,9.9,1296,191,6.785340314,0.147376543
NLA06608-0361,35.0206335,-81.0474152,2.32,171,19,9,0.111111111
NLA06608-0363,41.9346068,-85.3308898,5.3,567,18,31.5,0.031746032
NLA06608-0366,46.9426701,-95.2672386,3.59,601,14,42.92857143,0.023294509
NLA06608-0367,41.3649693,-81.2208946,4.66,2157,54,39.94444444,0.025034771
NLA06608-0369,44.5863556,-72.3118644,2.67,163,1,163,0.006134969
NLA06608-0372,38.4638561,-105.0515471,3.26,229,16,14.3125,0.069868996
NLA06608-0373,34.2564815,-117.1853787,3.18,104,1,104,0.009615385
NLA06608-0376,36.3088402,-96.1285969,5.62,324,6,54,0.018518519
