SITE_ID,Lat,Lon,DOC_Median,TN_Median,TP_Median,TNtoTP_Median,TPtoTN
NWCA16-2204,42.62991,-114.7869,11.5,1.37,208,0.119130435,8.394160569
NWCA16-2205,44.45205,-111.87419,1.47,22.9,96,15.57823129,0.06419214
NWCA16-2250,42.55733,-114.93821,3.9,2.44,104,0.625641026,1.598360655
NWCA16-2251,44.46606,-111.86964,1.51,0.215,112,0.142384106,7.023255812
NWCA16-2252,43.52402,-116.63298,7.47,0.772,168,0.10334672,9.676165823
NWCA16-2257,43.89326,-112.35777,5.65,0.655,78,0.115929204,8.625954164
NWCA16-2259,43.90274,-112.33051,1.42,2.31,128,1.626760563,0.614718615
NWCA16-2268,43.85797,-116.57586,4.56,0.361,114,0.079166667,12.63157889
NWCA16-2271,42.8626,-112.03605,15.2,0.466,220,0.030657895,32.61802547
NWCA16-2279,42.648854,-111.67831,11.5,1.3,236,0.113043478,8.846153867
NWCA16-2284,37.72929,-89.46632,17.2,1.86,460,0.108139535,9.247311818
NWCA16-2310,42.34879,-87.93558,9.99,1.68,140,0.168168168,5.946428577
NWCA16-2333,38.96938,-88.97119,8.26,1.26,252,0.152542373,6.55555555
NWCA16-2340,37.48165,-88.44878,1.5,0.15,34,0.1,10
NWCA16-2343,37.93906,-89.3777,14.9,1.93,500,0.129530201,7.720207274
NWCA16-2346,42.44527,-88.29952,4.22,5.17,114,1.225118483,0.816247582
NWCA16-2348,37.6826,-89.1262,17.6,1.52,258,0.086363636,11.57894742
NWCA16-2364,39.03076,-89.57632,5.89,1.53,186,0.259762309,3.849673203
NWCA16-2381,38.0798,-89.96201,7.19,1.38,150,0.191933241,5.210144917
NWCA16-2387,37.70429,-89.45854,89.2,4.99,356,0.055941704,17.87575151
NWCA16-2392,41.21883,-86.38264,17.1,2.19,239,0.124638544,8.023200271
NWCA16-2394,40.98389,-87.50986,35.8,14.3,1760,0.399441341,2.503496502
NWCA16-2409,39.33365,-87.25125,9.04,3.32,550,0.367256637,2.722891568
NWCA16-2417,39.27491,-87.57653,10.5,1.53,350,0.145714286,6.862745085
NWCA16-2432,38.557455,-97.273575,7.425,0.659,96,0.089222227,11.20796957
NWCA16-2433,39.833195,-95.070555,3.665,1.34,163,0.375207016,2.665195365
NWCA16-2434,38.72373,-97.5144,7.57,0.928,338,0.122589168,8.157327571
NWCA16-2437,37.34558,-98.41066,11.7,41.7,18500,3.564102564,0.28057554
NWCA16-2441,38.07988,-98.06488,22,1.21,495,0.055,18.18181818
NWCA16-2449,37.95691,-97.43533,13.9,1.55,364,0.111510791,8.967741965
NWCA16-2458,38.08339,-98.06052,50.4,4.54,1300,0.090079365,11.1013216
NWCA16-2461,37.99622,-101.86239,5.39,1.58,194,0.293135436,3.411392405
NWCA16-2519,29.85475,-92.49121,11.55,1.3355,14.5,0.11084127,9.021910381
NWCA16-2523,29.078255,-90.515255,5.665,0.7505,49,0.131111994,7.627067284
NWCA16-2524,30.13733,-92.2332,16,3.53,176,0.220625,4.532577904
NWCA16-2525,29.72731,-93.8103,7.97,4.82,910,0.60476788,1.65352697
NWCA16-2527,30.2131,-91.32272,13.8,1.86,475,0.134782609,7.419354822
NWCA16-2529,29.95549,-93.43494,42.1,5.43,356,0.128978622,7.753222856
NWCA16-2530,29.28079,-90.98113,9.96,0.746,30,0.074899598,13.3512065
NWCA16-2535,30.6016,-92.95433,25.3,1.2,54,0.04743083,21.08333335
NWCA16-2536,29.22631,-90.14676,8.15,0.958,68,0.117546012,8.507306909
NWCA16-2537,29.57833,-92.19575,26.4,5.62,226,0.212878788,4.697508894
NWCA16-2541,29.72555,-93.81311,34.1,4.72,435,0.138416422,7.224576286
NWCA16-2542,30.28778,-91.7809,17.7,1.29,360,0.072881356,13.72093022
NWCA16-2545,29.95149,-93.61095,27.4,2.55,140,0.093065693,10.74509809
NWCA16-2547,31.21207,-91.65212,13.6,1.22,115,0.089705882,11.14754103
NWCA16-2548,29.39468,-90.0795,9.96,1.08,62,0.108433735,9.222222217
NWCA16-2550,29.72962,-91.55049,10.4,0.623,74,0.059903846,16.69341898
NWCA16-2553,29.65443,-92.3493,34.5,8.3,1300,0.24057971,4.156626509
NWCA16-2555,33.00599,-93.40028,13.5,2.28,268,0.168888889,5.921052628
NWCA16-2556,29.41979,-89.58791,7.89,1.17,122,0.148288973,6.743589761
NWCA16-2557,29.85718,-93.2131,17.5,1.28,38,0.073142857,13.67187503
NWCA16-2558,29.8473,-91.95853,11.9,1.15,450,0.096638655,10.34782614
NWCA16-2559,31.67087,-92.36207,15.4,0.703,62,0.045649351,21.90611647
NWCA16-2560,29.44525,-89.67835,11.9,0.811,124,0.068151261,14.6732428
NWCA16-2561,30.31762,-93.72227,12.9,2.08,286,0.16124031,6.20192308
NWCA16-2562,29.08073,-90.53012,40,12.6,1150,0.315,3.174603175
NWCA16-2564,29.57712,-90.22449,18.4,2.29,152,0.124456522,8.034934481
NWCA16-2565,29.5766,-91.98143,13.2,1.03,110,0.078030303,12.81553399
NWCA16-2566,29.35717,-91.10395,12,1.45,154,0.120833333,8.275862092
NWCA16-2567,32.10583,-91.48337,7.26,3.51,410,0.483471074,2.06837607
NWCA16-2569,29.60666,-92.17024,25,4.13,358,0.1652,6.053268765
NWCA16-2571,30.05427,-89.82332,11.4,4.73,1130,0.414912281,2.41014799
NWCA16-2572,29.25505,-89.50957,5.35,1.59,192,0.297196262,3.364779871
NWCA16-2574,29.35197,-90.93098,9.8,1.34,68,0.136734694,7.313432829
NWCA16-2577,29.83589,-92.50305,13.4,0.71,19,0.052985075,18.8732393
NWCA16-2578,29.4746,-90.46008,26.5,3.03,176,0.114339623,8.74587456
NWCA16-2580,29.40206,-90.20904,14.5,1.22,130,0.084137931,11.88524591
NWCA16-2581,29.56976,-91.87015,8.16,0.704,76,0.08627451,11.59090906
NWCA16-2585,29.67666,-92.83994,26.2,3.41,550,0.130152672,7.683284443
NWCA16-2586,29.85936,-91.58155,9.48,1.21,254,0.127637131,7.834710732
NWCA16-2729,42.67526,-71.053925,14.85,5.005,202,0.320658972,3.118577956
NWCA16-2730,41.799275,-71.187635,13.22,0.8005,82,0.115906673,8.627630956
NWCA16-2732,42.35106,-73.17533,2.01,0.295,32,0.146766169,6.813559329
NWCA16-2736,41.87461,-70.00031,24.1,1.75,96,0.072614108,13.77142855
