"SITE_ID","TN_Median","TP_Median"
"NWCA11-R051",0.549,40
"NWCA11-R052",3.106,1268
"NWCA11-R054",1.063,65
"NWCA11-R055",8.525,885
"NWCA11-R056",1.258,129
"NWCA11-R058",0.341,41
"NWCA11-R059",30.5,3446
"NWCA11-R060",1.22,109
"NWCA11-R061",19.925,7364
"NWCA11-R062",0.99,141
"NWCA11-R063",0.393,115
"NWCA11-R065",5.938,1314
"NWCA11-R066",2.513,1654
"NWCA11-R070",1.728,194
"NWCA11-R071",1.148,124
"NWCA11-R073",0.363,72
"NWCA11-R074",0.813,18
"NWCA11-R076",1.184,114
"NWCA11-R077",2.744,46
"NWCA11-R080",0.51,97
"NWCA11-R084",0.903,204
"NWCA11-R086",19.675,5485
"NWCA11-R087",2.688,2034
"NWCA11-R092",0.205,36
"NWCA11-R095",1.088,25
"NWCA11-R101",1.515,185
"NWCA11-R103",0.718,31
"NWCA11-R107",0.301,51
"NWCA11-R108",0.94,55
"NWCA11-R110",0.698,22
"NWCA11-R112",0.923,25
"NWCA11-R113",0.76,25
"NWCA11-R114",0.793,59
"NWCA11-R116",1.081,65
"NWCA11-R117",3.978,298
"NWCA11-R121",1.07,165
"NWCA11-R124",0.46,7
"NWCA11-R126",0.888,69
"NWCA11-R127",1.61,222
"NWCA11-R128",0.475,18
"NWCA11-R130",0.873,155
"NWCA11-R133",0.833,14
"NWCA11-R134",1.34,49
"NWCA11-R135",2.055,1218
"NWCA11-R201",0.283,28
"NWCA11-R202",0.408,56
"NWCA11-R203",0.193,11
"NWCA11-R204",0.21,10
"NWCA11-R205",0.485,44
"NWCA11-R206",0.078,39
"NWCA11-R301",0.338,12
"NWCA11-R303",0.793,24
"NWCA11-R304",0.783,49
"NWCA11-R305",0.353,25
"NWCA11-R307",0.338,2
"NWCA11-R308",0.543,26
"NWCA11-R312",0.913,32
"NWCA11-R313",1.09,67
"NWCA11-R314",0.645,3
"NWCA11-R315",0.86,103
"NWCA11-R321",0.41,23
"NWCA11-R322",1.268,55
"NWCA11-WI-1001",NA,16
"NWCA11-WI-1009",NA,271
