UniqueLakeName,Lat,Lon,DOC_Median,TN_Median,TP_Median,TNtoTP_Median,pH,TPtoTN
L8173,59.23,-97.89,0.0169,0.703,0.0164,NA,6.3,NA
L8175,59.24499,10.3269,NA,1,0.12,NA,NA,NA
L8176,59.27,-95.86,0.0057,0.308,0.0057,42.86585366,8.6,0.023328592
L8177,59.29808,11.08459,NA,0.4,0.1,NA,NA,NA
L8178,59.34,-97.52,0.0105,0.503,0.0136,NA,6.6,NA
L8179,59.418365,10.79466,NA,0.75,0.085,NA,NA,NA
L8180,59.39458,24.76777,NA,NA,NA,NA,8.5,NA
L8181,59.41,-95.41,0.007,0.282,0.0053,36.98529412,7.7,0.027037773
L8182,59.42702,10.98319,NA,1.6,0.27,NA,NA,NA
L8184,59.73298,17.54785,NA,0.6,0.05,NA,NA,NA
L8186,59.50832,18.0448,NA,0.6,0.08,NA,NA,NA
L8187,59.51433,10.15598,NA,0.6,0.24,NA,NA,NA
L8189,59.66792,11.54613,NA,0.9,0.17,NA,NA,NA
L8190,59.67,-95.43,0.0043,0.289,0.0059,53.20754717,8.2,0.018794326
L8191,59.68845,10.82986,NA,1.8,0.18,NA,NA,NA
L8192,59.68997,10.74332,NA,3.1,0.12,NA,NA,NA
L8193,59.69833,11.05206,NA,0.8,0.2,NA,NA,NA
L8194,59.73,-96.97,0.0113,0.271,0.0059,48.98305085,6.5,0.020415225
L8195,59.73,-96.96,0.0088,0.953,0.0143,45.93220339,6.4,0.021771218
L8196,59.73057,18.73477,NA,0.9,0.05,NA,NA,NA
L8197,59.73936,17.84322,NA,0.4,0.04,NA,NA,NA
L8198,59.79,-96.49,0.0063,0.298,0.0071,66.64335664,7.2,0.015005247
L8199,59.84013167,18.62299861,NA,0.5,0.07,NA,8,NA
L8200,59.86344,17.94175,NA,NA,0.05,NA,NA,NA
L8201,59.87247,17.17067,NA,NA,0.03,NA,NA,NA
L8202,59.92,-96.51,0.0212,0.177,0.0029,41.97183099,6.9,0.023825503
L8203,59.93,-96.51,0.0137,0.481,0.0085,61.03448276,6.3,0.016384181
L8205,60.03,-97.28,0.0064,0.316,0.005,56.58823529,7.5,0.017671518
L8206,60.15,-96.57,0.0054,0.265,0.0044,63.2,7.5,0.015822785
L8207,60.16,-96.21,0.007,0.321,0.0079,NA,6.8,NA
