"SITE_ID","DOC_Median","NO3_Median","TN_Median","TP_Median","TNtoTP_Median","NO3toTP_Median"
"NRS18_MO_10665",0.56,0.2763,0.416,8.799,0.0472781,0.031401296
"NRS18_MO_10812",5.64,0.2257,0.928,82.79,0.011209083,0.002726175
"NRS18_MO_11111",0.81,0.2721,0.44,16.086,0.027352978,0.01691533
"NRS18_MO_RF001",4.52,0.021,0.49,116.788,0.004195637,0.000179813
"NRS18_MO_RF002",0.68,0.3115,0.41,18.663,0.021968601,0.016690779
"NRS18_MO_RF003",1.9,0.425,0.645,25.664,0.025132481,0.016560162
"NRS18_MO_RF004",1.28,0.2542,0.358,6.773,0.052856932,0.037531375
"NRS18_MO_RF005",1.75,0.7616,1.06,62.614,0.016929121,0.012163414
"NRS18_MO_RF006",0.63,0.4588,0.596,15.535,0.038364982,0.029533312
"NRS18_MO_RF007",0.93,0.324,0.448,12.809,0.034975408,0.025294715
"NRS18_MS_10001",2.325,0.02865,0.149,13.837,0.011009251,0.002162726
"NRS18_MS_10002",5.155,0.0565,0.6165,137.397,0.0044874015,0.000411273
"NRS18_MS_10003",7.1,0.9118,2.738,262.369,0.010435684,0.003475258
"NRS18_MS_10004",6.37,0.0331,0.301,23.689,0.012706319,0.001397273
"NRS18_MS_10005",2.87,0.2203,0.481,91.33,0.005266616,0.002412132
"NRS18_MS_10006",2.95,0.0169,0.266,50.129,0.00530631,0.00033713
"NRS18_MS_10007",3.62,0.0567,0.671,84.923,0.007901275,0.000667664
"NRS18_MS_10008",4.69,0.2594,0.953,261.278,0.003647456,0.000992812
"NRS18_MS_10009",1.3,0.0488,0.251,19.2565,0.013241098,0.0025232615
"NRS18_MS_10010",4.355,0.11955,0.4745,111.616,0.0041786255,0.001009229
"NRS18_MS_10012",6.88,0.005,1.471,646.831,0.002274164,7.72999e-06
"NRS18_MS_10013",4.35,0.0269,0.199,36.054,0.005519499,0.000746103
"NRS18_MS_10014",6.75,0.0067,0.374,95.973,0.003896929,6.98113e-05
"NRS18_MS_10015",4.15,0.2182,0.774,158.315,0.004888987,0.001378265
"NRS18_MS_10016",6.66,0.0074,0.499,68.954,0.007236709,0.000107318
"NRS18_MS_10017",4.74,0.37,0.924,217.929,0.004239913,0.001697801
"NRS18_MS_10018",3.87,0.1054,0.299,23.226,0.012873504,0.004538018
"NRS18_MS_10019",1.66,0.6043,0.759,39.705,0.01911598,0.015219746
"NRS18_MS_10020",3.14,0.2342,0.478,88.508,0.005400642,0.002646088
"NRS18_MS_10021",9.18,0.3115,1.06,244.586,0.004333854,0.001273581
"NRS18_MS_10022",5.43,0.2128,0.731,168.336,0.004342505,0.001264138
"NRS18_MS_10031",5.27,0.001,0.876,185.359,0.004725964,5.39494e-06
"NRS18_MT_10001",0.47,0.0105,0.042,12.1765,0.003431629,0.000856786
"NRS18_MT_10002",1.71,0.00375,0.1825,19.1215,0.009933063,0.000205485
"NRS18_MT_10003",1.22,0.0121,0.088,10.181,0.008643552,0.001188488
"NRS18_MT_10006",0.61,0.0261,0.06,6.176,0.009715026,0.004226036
"NRS18_MT_10009",0.73,0.0196,0.074,16.485,0.004488929,0.00118896
"NRS18_MT_10010",12.3,0.0053,1.031,83.004,0.012421088,6.38523e-05
"NRS18_MT_10011",19.6,0.0111,2.188,134.684,0.016245434,8.24151e-05
"NRS18_MT_10012",1.12,0.0449,0.136,11.676,0.011647825,0.003845495
"NRS18_MT_10013",1.23,0.0412,0.149,7.428,0.020059235,0.005546581
"NRS18_MT_10015",1.04,0.0056,0.081,9.735,0.008320493,0.000575244
"NRS18_MT_10017",3.04,0.0424,0.408,50.371,0.008099899,0.000841754
"NRS18_MT_10018",3.73,0.0071,0.265,28.083,0.009436314,0.000252822
"NRS18_MT_10019",7.66,0,0.718,112.644,0.006374063,0
"NRS18_MT_10021",3.03,0,0.229,42.765,0.005354846,0
"NRS18_MT_10022",2.72,0.036,0.349,87.045,0.00400942,0.000413579
"NRS18_MT_10023",0.67,0.0089,0.05,4.985,0.01003009,0.001785356
"NRS18_MT_10024",2.87,0.0114,0.339,55.645,0.006092192,0.00020487
"NRS18_MT_10025",6.06,0,0.569,62.884,0.009048407,0
"NRS18_MT_10027",2.31,0.01085,0.2865,63.733,0.0046004405,0.0001688355
"NRS18_MT_10028",6.46,0.0028,0.6945,125.928,0.005528476,2.180295e-05
"NRS18_MT_10029",1.25,0.2711,0.485,63.148,0.00768037,0.004293089
"NRS18_MT_10030",1.18,0.0031,0.075,16.861,0.004448135,0.000183856
"NRS18_MT_10032",4.61,0.0021,0.173,14.143,0.0122322,0.000148483
"NRS18_MT_10035",0.99,0.0016,0.074,10.641,0.006954234,0.000150362
"NRS18_MT_10037",11.87,0.1542,1.249,34.756,0.035936241,0.004436644
"NRS18_MT_10040",18.83,0.0053,2.403,212.413,0.011312867,2.49514e-05
"NRS18_MT_10041",7.59,0.0016,0.681,33.56,0.020292014,4.76758e-05
"NRS18_MT_10043",1.11,0.0509,0.149,13.186,0.011299863,0.003860155
"NRS18_MT_10044",6.55,0.3201,1.183,256.756,0.004607487,0.001246709
"NRS18_MT_10047",3,0.1766,0.433,56.276,0.007694221,0.003138105
"NRS18_MT_10048",2.57,0.0084,0.306,38.858,0.007874826,0.000216172
"NRS18_MT_10049",1.38,0.0033,0.126,11.624,0.010839642,0.000283895
"NRS18_MT_10051",2.65,0.0299,0.364,96.075,0.003788707,0.000311215
"NRS18_MT_10052",1.47,0.1273,0.236,46.948,0.005026838,0.002711511
"NRS18_MT_10062",1.35,0.0239,0.11,10.248,0.010733802,0.002332162
"NRS18_MT_10063",4.76,0.0239,3.013,69.15,0.043571945,0.000345625
"NRS18_MT_10064",6.17,0.0855,0.935,208.646,0.004481275,0.000409785
"NRS18_MT_10065",1.24,0.0702,0.199,8.214,0.02422693,0.008546384
"NRS18_MT_10067",2.25,0.262,0.484,12.793,0.03783319,0.02047995
"NRS18_MT_10068",1.45,0.0022,0.07,10.459,0.0066928,0.000210345
"NRS18_MT_10070",1.42,0.023,0.323,226.994,0.001422945,0.000101324
"NRS18_MT_10071",2.61,0.006,0.266,30.933,0.008599231,0.000193968
"NRS18_MT_10072",4.6,0,0.429,66.341,0.006466589,0
"NRS18_MT_10073",2.86,0.0184,0.33,49.015,0.006732633,0.000375395
"NRS18_MT_10078",11.75,0.0459,0.933,245.93,0.003793762,0.000186638
"NRS18_MT_10079",0.92,0.0034,0.069,56.771,0.001215409,5.98897e-05
"NRS18_MT_10080",4.29,0.0038,0.283,38.655,0.007321174,9.83055e-05
"NRS18_MT_10083",2.19,0.0656,0.323,52.33,0.006172368,0.001253583
"NRS18_MT_10084",0.49,0.0621,0.106,3.529,0.030036838,0.017597053
"NRS18_MT_10087",7.19,0.0136,0.879,247.408,0.003552836,5.49699e-05
"NRS18_MT_10089",1.49,0.0482,0.209,13.675,0.015283364,0.00352468
"NRS18_MT_10090",1.5,0.0131,0.089,14.453,0.006157891,0.000906386
"NRS18_MT_10094",1.47,0.1181,0.253,11.209,0.022571148,0.010536176
"NRS18_MT_10096",1.11,0.1866,0.256,8.758,0.029230418,0.021306234
"NRS18_MT_10097",1.1,0.0187,0.063,6.686,0.009422674,0.002796889
"NRS18_MT_10106",0.46,0.066,0.085,2.715,0.031307551,0.024309392
