SITE_ID,Lat,Lon,DOC_Median,NO3_Median,TP_Median,NO3toTP_Median
NLA12_UT_101,37.52243125,-112.7718285,2.505,0.001,16.5,6.06E-05
NLA12_UT_102,40.17574563,-110.4823139,2.78,0.002,21,9.52E-05
NLA12_UT_103,41.51882171,-111.7364334,1.8,0.002,23,8.70E-05
NLA12_UT_104,41.37535097,-112.0897045,3.01,0.039,65,0.0006
NLA12_UT_105,40.942526,-111.4050319,3.23,0.002,23,8.70E-05
NLA12_UT_108,38.60046835,-111.841172,4.39,0.019,80,0.0002375
NLA12_UT_109,40.72381895,-109.183908,16.33,0,96,0
NLA12_UT_110,40.87400683,-109.1380738,5,0,25,0
NLA12_UT_112,40.51101829,-111.5858985,4.03,0,60,0
NLA12_UT_118,40.8207594,-110.3898186,1.66,0.002,23,8.70E-05
NLA12_UT_122,40.83133152,-110.0193773,2.07,0.002,10,0.0002
NLA12_UT_125,39.1695073,-111.4507206,2.82,0.002,20,0.0001
NLA12_UT_126,41.92315669,-111.6571345,1.83,0.003,12,0.00025
NLA12_UT_128,40.63982287,-112.3104436,8.25,0,72,0
NLA12_UT_137,37.82193983,-112.7212944,8.53,0.002,147,1.36E-05
NLA12_UT_141,38.8475374,-111.9613903,3.7,0.56,193,0.002901554
NLA12_UT_147,40.68036901,-111.097613,6.2,0,14,0
NLA12_UT_148,41.80681225,-111.8970124,6.99,0,265,0
NLA12_UT_159,40.70452574,-110.9631214,2.82,0.002,11,0.000181818
NLA12_UT_160,41.70168986,-113.9596706,2.26,0,30,0
NLA12_UT_165,38.04946334,-111.6019686,6.25,0.002,41,4.88E-05
NLA12_UT_167,39.36385445,-110.8011068,5.91,0.005,27,0.000185185
NLA12_UT_169,39.20473742,-111.6689123,2.02,0.005,23,0.000217391
NLA12_UT_173,37.25249786,-113.7781188,2.29,0.002,36,5.56E-05
NLA12_UT_186,38.23508748,-112.4630091,3.05,0.005,118,4.24E-05
NLA12_UT_196,39.70682362,-111.2933692,2.86,0.002,17,0.000117647
NLA12_UT_203,40.58885713,-111.5899784,1.63,0.007,6,0.001166667
NLA12_UT_210,38.78818748,-111.7748779,3.53,0.002,51,3.92E-05
NLA12_UT_218,40.4581066,-111.4811121,2.79,0.002,28,7.14E-05
NLA12_UT_222,38.62493587,-112.4333455,13.22,0,83,0
NLA12_UT_229,40.88926752,-109.8461084,6.39,0.004,37,0.000108108
NLA12_UT_260,39.14241052,-111.452546,3.07,0.003,21,0.000142857
NLA12_UT_264,38.07061898,-111.3751268,1.89,0.004,104,3.85E-05
NLA12_UT_290,40.8739496,-109.1483089,5.35,0.003,66,4.55E-05
NLA12_UT_294,40.75243409,-111.7195606,1.94,0,24,0
NLA12_UT_324,40.67460225,-110.9706993,3.05,0.003,19,0.000157895
NLA12_UT_325,40.9060993,-111.5911941,3.04,0.007,31,0.000225806
NLA12_UT_343,40.9225409,-110.1185889,7.57,0.012,85,0.000141176
NLA12_UT_359,40.35063701,-109.941191,12.35,0.002,542,3.69E-06
NLA12_UT_374,39.10008113,-111.2003351,2.17,0.012,25,0.00048
NLA12_UT_392,39.36035119,-111.9637079,4.42,0.015,55,0.000272727
NLA12_UT_397,37.59556184,-112.2546686,3.38,0.003,16,0.0001875
NLA12_UT_400,40.05768033,-110.627715,13.58,0,1208,0
NLA12_UT_409,40.71105895,-111.9468346,5.13,0.342,237,0.001443038
NLA12_UT_412,40.86378075,-109.8118146,3.55,0,54,0
NLA12_UT_424,40.6710886,-109.9197001,3.87,0,43,0
NLA12_VA_101,37.29244811,-77.89349456,5.73,0.001,152.5,6.56E-06
NLA12_VA_102,37.12263436,-77.63606476,8.83,0.002,70,2.86E-05
NLA12_VA_103,38.96474349,-77.33558453,4.09,0,24,0
NLA12_VA_104,36.94402045,-82.20326629,2.46,0.003,19,0.000157895
NLA12_VA_105,38.21768841,-77.66992533,5.97,0.002,80,0.000025
NLA12_VA_106,37.30188244,-76.82107103,9,0.002,64,0.00003125
NLA12_VA_108,37.2141479,-78.62552714,2.43,0.005,61,8.20E-05
NLA12_VA_109,37.35262917,-79.92640549,3.135,0.0175,60,0.000291667
NLA12_VA_110,38.6132069,-77.35177584,6.51,0,19,0
NLA12_VA_111,37.20263314,-77.35292656,9.34,0.004,114,3.51E-05
NLA12_VA_112,36.70331908,-76.61370171,5.61,0.004,24,0.000166667
NLA12_VA_114,37.97534621,-78.42805404,4.53,0.001,35,2.86E-05
NLA12_VA_116,36.93851006,-79.92845969,1.83,0.02,37,0.000540541
NLA12_VA_118,38.66358751,-77.66841941,12.18,0.013,426,3.05E-05
NLA12_VA_119,37.29642181,-76.61317204,5.57,0.002,124,1.61E-05
NLA12_VA_121,37.75190637,-76.93373313,5.99,0.004,96,4.17E-05
NLA12_VA_123,36.91780892,-76.15174455,10.84,0.009,112,8.04E-05
NLA12_VA_125,36.67434057,-80.39017008,1.5,0.284,27,0.010518519
NLA12_VA_126,38.55750724,-78.96983242,4.04,0.128,40,0.0032
NLA12_VA_127,37.15479457,-77.52050059,7.57,0.005,81,6.17E-05
NLA12_VA_130,37.99359532,-78.17761298,5.26,0,61,0
NLA12_VA_R01,37.0434,-80.86760868,2.54,0.002,9,0.000222222
NLA12_VA_R05,37.35866948,-76.84210284,4.13,0.002,12,0.000166667
NLA12_VA_R06,37.313394,-76.708333,3.18,0,15,0
NLA12_VA_R14,36.74988308,-79.87361354,2.14,0.003,13,0.000230769
NLA12_VA_R17,36.95945142,-81.80846875,2.86,0.002,9,0.000222222
NLA12_VA_R18,37.41265564,-76.71046399,9.13,0,103,0
NLA12_VT_101,44.44652025,-71.81189261,5.44,0.0025,16,0.00015625
NLA12_VT_102,44.71962755,-72.23382351,3.23,0.007,14,0.0005
NLA12_VT_103,44.67386066,-73.36140792,3.17,0.038,20,0.0019
NLA12_VT_104,43.89113168,-73.0524672,3.01,0.078,9,0.008666667
NLA12_VT_106,44.77783926,-71.79916952,7.29,0.003,20,0.00015
NLA12_VT_109,42.7469444,-72.83550844,5.7,0.002,19,0.000105263
NLA12_VT_110,44.74644759,-72.59930665,2.76,0,9,0
NLA12_VT_112,44.41873636,-72.94729757,4.065,0.002,17.5,0.000114286
NLA12_VT_114,44.95572697,-71.71766789,3.01,0.009,10,0.0009
NLA12_VT_115,44.42819135,-72.23012775,8.61,0.006,31,0.000193548
NLA12_VT_R01,44.76282381,-71.95376535,2.51,0.022,12,0.001833333
NLA12_VT_R02,43.49666793,-72.91829204,2.64,0,5,0
NLA12_WA_101,46.42201675,-124.0356028,8.5,0.0015,26,5.77E-05
NLA12_WA_102,47.31085035,-121.29956,7.34,0.002,180,1.11E-05
NLA12_WA_103,47.12004952,-122.577182,2.29,0.002,9,0.000222222
NLA12_WA_104,47.07694132,-119.324822,2.8,0.014,99,0.000141414
NLA12_WA_106,46.49649104,-122.4113066,6.5,0.019,53,0.000358491
NLA12_WA_107,45.61684794,-122.4258001,3.08,0.258,74,0.003486486
NLA12_WA_108,48.15395251,-117.3185295,3.76,0,38,0
NLA12_WA_109,48.70871678,-122.3273101,3.85,0.002,15,0.000133333
NLA12_WA_110,47.40945996,-122.7841888,2.56,0,19,0
NLA12_WA_111,47.91608833,-120.1596049,6.82,0,16,0
NLA12_WA_112,48.41822976,-117.6640697,8.82,0.003,93,3.23E-05
NLA12_WA_114,47.03340588,-122.9080173,1.58,0.374,92,0.004065217
NLA12_WA_115,48.95919311,-118.1271161,5.73,0.002,50,0.00004
NLA12_WA_116,46.94126809,-119.27853,5.16,0.164,22,0.007454545
NLA12_WA_118,47.35148384,-121.9912542,0.48,0.516,28,0.018428571
NLA12_WA_120,48.29227506,-118.32282,3.25,0.003,50,0.00006
NLA12_WA_121,47.85188997,-122.2449986,4.21,0.028,9,0.003111111
NLA12_WA_124,48.03662397,-118.8932554,7.82,0.002,25,0.00008
NLA12_WA_125,47.13372828,-124.0473316,0.48,0.14,72,0.001944444
NLA12_WA_126,48.40619468,-117.180602,2.47,0.003,40,0.000075
NLA12_WA_129,46.15548587,-121.701039,0.29,0.006,85,7.06E-05
NLA12_WA_131,48.39574918,-120.1848543,12.07,0.003,95,3.16E-05
NLA12_WA_133,48.56842531,-123.0735207,11.65,0.0035,57.5,6.09E-05
NLA12_WA_138,47.59338259,-122.1245929,4.31,0.002,12,0.000166667
NLA12_WA_141,47.24381556,-122.757955,4.41,0.002,23,8.70E-05
NLA12_WA_146,46.42220235,-121.5971666,0.7,0.002,34,5.88E-05
NLA12_WA_147,48.23081534,-119.7765868,5.28,0.002,41,4.88E-05
NLA12_WA_151,48.687922,-121.6679362,0.4,0.002,15,0.000133333
NLA12_WA_154,46.83110249,-122.4473471,4.53,0,53,0
NLA12_WA_157,47.47102321,-123.1739311,2.05,0.002,25,0.00008
NLA12_WA_159,46.62199741,-120.5560269,2.85,0.084,67,0.001253731
NLA12_WA_R08,47.13311657,-119.9153732,4.11,0.003,69,4.35E-05
NLA12_WA_R09,47.58873889,-119.3227985,1.79,0,79,0
NLA12_WA_R10,46.95906591,-119.2902715,8.35,0.003,20,0.00015
NLA12_WA_R11,48.86544591,-121.6771636,1.56,0,8,0
NLA12_WI_101,42.96455549,-89.25380131,6.65,NA,74.5,NA
NLA12_WI_102,43.09787438,-88.4621617,6.2,NA,10,NA
NLA12_WI_103,45.31579972,-92.56438162,3.1,NA,77,NA
NLA12_WI_104,46.00615673,-89.50723347,4,NA,13,NA
NLA12_WI_106,45.76452987,-90.66040551,18,NA,24,NA
NLA12_WI_107,43.54654689,-89.3528689,6.1,NA,27,NA
NLA12_WI_108,45.32642671,-92.42532377,5.4,NA,56,NA
NLA12_WI_109,45.71958321,-89.88146231,12,NA,49,NA
NLA12_WI_110,44.32353747,-89.19098336,3,NA,15,NA
NLA12_WI_111,44.8891413,-88.47492666,9,NA,13,NA
NLA12_WI_112,45.62088904,-88.07300702,9.65,NA,12.5,NA
NLA12_WI_113,43.81355964,-89.30356704,3.9,NA,12,NA
NLA12_WI_115,45.89865584,-89.6943733,15,NA,32,NA
NLA12_WI_117,44.0425333,-89.21610906,8.3,NA,18,NA
NLA12_WI_120,42.97222963,-87.93633533,21,NA,44,NA
NLA12_WI_122,43.17776764,-90.67162718,6,NA,31,NA
NLA12_WI_127,44.77019577,-91.92981181,12,NA,232,NA
NLA12_WI_128,44.67992189,-88.71573368,7.2,NA,60,NA
NLA12_WI_129,43.42203813,-87.95943869,9,NA,25,NA
NLA12_WI_131,45.97188548,-89.38901466,5.2,NA,24,NA
NLA12_WI_132,44.69847871,-87.49992572,10,NA,109,NA
NLA12_WI_133,44.29583634,-87.73414988,16,NA,25,NA
NLA12_WI_134,42.94678195,-89.4096945,25,NA,1730,NA
NLA12_WI_135,46.55919455,-91.39356434,7.8,NA,20,NA
NLA12_WI_136,43.05664122,-88.45502863,6.9,NA,21,NA
NLA12_WI_138,45.19365958,-90.44187712,7,NA,17,NA
NLA12_WI_140,42.99825202,-89.29085205,7,NA,75,NA
NLA12_WI_142,46.25160505,-90.36722351,33,NA,36,NA
NLA12_WI_144,44.92260841,-89.03917287,11,NA,28,NA
NLA12_WI_147,46.3452418,-91.75370431,14,NA,39,NA
NLA12_WI_151,45.73469469,-91.57086287,7.3,NA,21,NA
NLA12_WI_152,42.59803618,-88.61516896,4.7,NA,24,NA
NLA12_WI_153,44.43390781,-92.07106181,14,NA,155,NA
NLA12_WI_154,45.39105151,-89.17936483,18,NA,35,NA
NLA12_WI_155,45.38632167,-92.47540024,4.6,NA,20,NA
NLA12_WI_157,43.53712279,-90.95935275,3.1,NA,35,NA
NLA12_WI_161,44.3329463,-89.18303988,3.2,NA,24,NA
NLA12_WI_163,46.47406064,-92.04491337,22,NA,59,NA
NLA12_WI_166,43.19283315,-90.42159914,3,NA,70,NA
NLA12_WI_168,42.50962706,-88.26962301,5.4,NA,17,NA
NLA12_WI_170,45.57708435,-89.1648747,11,NA,21,NA
NLA12_WI_171,45.7344156,-92.53857737,7.3,NA,12,NA
NLA12_WI_172,43.49766607,-89.29875291,4.2,NA,132,NA
