"SITE_ID","Lat","Lon","DOC_Median","NO3_Median","TP_Median","NO3toTP_Median"
"NYSS_1252",42.45469,-78.48087,1.54,1.022,30,0.034066667
"NYSS_1253",42.60283,-78.19505,3.7,0.044,35,0.001257143
"NYSS_1255",42.55374,-73.82504,5.4,0.003,123,2.44e-05
"NYSS_1258",43.03249,-74.65623,7.37,0.196,24,0.008166667
"OHLS_1068",39.33002,-82.26817,2.37,0.124,26,0.004769231
"OHLS_1069",41.51412,-80.73366,9.56,1.116,146,0.007643836
"OHLS_1070",41.12102,-81.51976,6.47,1.219,90,0.013544444
"OHLS_1071",39.61589,-81.92661,3.53,1.064,53,0.020075472
"OHLS_1073",41.15671,-81.04802,4.92,0.023,25,0.00092
"OHLS_1074",40.86244,-82.24619,2.11,1.293,51,0.025352941
"OHR9_0901",39.30982,-82.9643,2.815,2.815,55.5,0.0510462965
"OHR9_0902",40.26612,-81.87411,2.355,1.2855,123.5,0.010738816
"OHR9_0903",40.58128,-81.39514,3.32,2.654,346,0.00767052
"OHR9_0904",39.13619,-84.34206,2.9,2.079,197,0.010553299
"OHR9_0905",39.46603,-81.48059,3.67,0.721,137,0.005262774
"OHR9_0906",38.82668,-83.01769,4.29,3.441,214,0.016079439
"OHR9_0907",41.02829,-83.21295,4.32,7.705,177,0.043531073
"OHR9_0908",41.20854,-80.81059,5.71,0.421,87,0.00483908
"OHRF_0001",39.24005,-82.76363,1.65,0.343,23,0.014913043
"OHRF_0002",41.18563,-82.42516,7.91,1.027,141,0.007283688
"OHRF_0003",39.72161,-83.88091,1.9,1.246,46.4,0.026853448
"OHRM_1001",41.2338,-84.59052,6.9,3.784,161,0.023503106
"OHRM_1002",40.14887,-80.70356,1.91,0.625,24,0.026041667
"OHRM_1003",39.41065,-82.98479,4.45,4.922,341,0.014434018
"OHRM_1004",39.68934,-84.25809,2.72,2.059,275,0.007487273
"OHRM_1005",41.19717,-84.70796,6.58,4.356,303,0.014376238
"OHRO_1031",40.52083,-81.30616,2.25,0.544,74,0.007351351
"OHRO_1032",41.17577,-80.72513,5.9,1.022,129,0.007922481
"OHRO_1033",41.44082,-83.03139,5.67,1.737,273,0.006362637
"OHRO_1034",39.90839,-84.29816,3.65,1.027,164,0.006262195
"OHRO_1035",40.63326,-81.54266,3.32,3.356,237,0.014160338
"OHRO_1036",41.24697,-81.55581,5.18,4.22,192,0.021979167
"OHS9_0914",40.70663,-80.79918,1.995,0.145,31.5,0.004616316
"OHS9_0915",39.74567,-81.84162,5.325,0.043,91,0.000302817
"OHS9_0916",41.79363,-80.82266,15.07,0.017,279,6.09e-05
"OHS9_0918",41.15906,-81.81774,4.99,0.018,19,0.000947368
"OHS9_0919",40.37315,-81.21327,3.15,0,138,0
"OHS9_0920",41.79621,-80.91776,8.42,0.231,115,0.002008696
