SITE_ID,DOC,PTL,NITRATE_N
NLA17_MN_10008,8.43,NA,NA
NLA17_MN_10009,8.19,NA,NA
NLA17_MN_10010,6.93,NA,NA
NLA17_MN_10011,4.89,NA,NA
NLA17_MN_10012,11.24,NA,NA
NLA17_MN_10014,14.05,NA,NA
NLA17_MN_10016,11.51,NA,NA
NLA17_MN_10017,18.78,NA,NA
NLA17_MN_10018,16.48,NA,NA
NLA17_MN_10019,9.06,NA,NA
NLA17_MN_10020,13.4,NA,NA
NLA17_MN_10021,6.4,NA,NA
NLA17_MN_10022,10.38,NA,NA
NLA17_MN_10023,12.57,NA,NA
NLA17_MN_10025,10.74,NA,NA
NLA17_MN_10026,8.16,NA,NA
NLA17_MN_10027,6.67,NA,NA
NLA17_MN_10028,6.64,NA,NA
NLA17_MN_10030,6.65,NA,NA
NLA17_MN_10032,34.14,NA,NA
NLA17_MN_10033,7.54,NA,NA
NLA17_MN_10034,9.13,NA,NA
NLA17_MN_10037,15.83,NA,NA
NLA17_MN_10038,18.32,NA,NA
NLA17_MN_10042,6.99,NA,NA
NLA17_MN_10044,7.49,NA,NA
NLA17_MN_10045,8.66,NA,NA
NLA17_MN_10046,9.98,NA,NA
NLA17_MN_10047,4.93,NA,NA
NLA17_MN_10048,7.36,NA,NA
NLA17_MN_10049,10.75,NA,NA
NLA17_MN_10159,6.06,NA,NA
NLA17_MN_10159,6.17,NA,NA
NLA17_MN_10161,9.27,NA,NA
NLA17_MN_10179,6.64,NA,NA
NLA17_MN_10180,14.55,NA,NA
NLA17_MN_10183,19.38,NA,NA
NLA17_MN_10187,9.08,NA,NA
NLA17_MN_10188,13.55,NA,NA
NLA17_MN_10189,10.65,NA,NA
NLA17_MN_10191,9.36,NA,NA
NLA17_MN_10192,9.63,NA,NA
NLA17_MN_10193,16.84,NA,NA
NLA17_MN_10194,8.12,NA,NA
NLA17_MN_10842,6.63,NA,NA
NLA17_MN_HP002,4.86,NA,NA
NLA17_MN_HP003,6.42,NA,NA
NLA17_MN_HP004,10.48,NA,NA
NLA17_MO_10001,5.81,NA,NA
NLA17_MO_10001,5.53,NA,NA
NLA17_MO_10002,4.7,NA,NA
NLA17_MO_10003,5.14,NA,NA
NLA17_MO_10004,4.79,NA,NA
NLA17_MO_10005,3.38,NA,NA
NLA17_MO_10006,5.14,NA,NA
NLA17_MO_10006,4.59,NA,NA
NLA17_MO_10007,6.04,NA,NA
NLA17_MO_10008,7.55,NA,NA
NLA17_MO_10009,5.27,NA,NA
NLA17_MO_10010,6,NA,NA
NLA17_MO_10015,6.9,NA,NA
NLA17_MO_10027,7.65,NA,NA
NLA17_MO_10028,7.61,NA,NA
NLA17_MO_10036,11.62,NA,NA
NLA17_MO_10038,3.6,NA,NA
NLA17_MO_10039,4.29,NA,NA
NLA17_MO_10043,8.01,NA,NA
NLA17_MO_HP001,3.75,NA,NA
NLA17_MO_HP002,6.43,NA,NA
NLA17_MO_HP003,5.73,NA,NA
NLA17_MO_HP004,5.14,NA,NA
NLA17_MO_HP005,8.52,NA,NA
NLA17_MO_HP006,1.97,NA,NA
NLA17_MO_HP007,2.7,NA,NA
NLA17_MO_HP008,3.56,NA,NA
NLA17_MO_HP009,2.86,NA,NA
NLA17_MO_HP010,3.43,NA,NA
NLA17_MS_10001,4.17,NA,NA
NLA17_MS_10001,4.08,NA,NA
NLA17_MS_10002,4.69,NA,NA
NLA17_MS_10003,3.46,NA,NA
NLA17_MS_10004,8.86,NA,NA
NLA17_MS_10005,3.69,NA,NA
NLA17_MS_10006,6.87,NA,NA
NLA17_MS_10007,5.9,NA,NA
NLA17_MS_10007,5.43,NA,NA
NLA17_MS_10008,5.92,NA,NA
NLA17_MS_10013,6.57,NA,NA
NLA17_MS_10015,8.07,NA,NA
NLA17_MS_10017,3.78,NA,NA
NLA17_MS_10019,3.64,NA,NA
NLA17_MS_10021,7.88,NA,NA
NLA17_MS_10037,6.3,NA,NA
NLA17_MT_10001,2.61,NA,NA
NLA17_MT_10002,3.12,NA,NA
NLA17_MT_10003,5.61,NA,NA
NLA17_MT_10004,2.57,NA,NA
NLA17_MT_10005,1.65,NA,NA
NLA17_MT_10006,24.53,NA,NA
NLA17_MT_10007,1.95,NA,NA
NLA17_MT_10008,1.33,NA,NA
NLA17_MT_10009,23.03,NA,NA
NLA17_MT_10009,25.72,NA,NA
NLA17_MT_10011,0.8,NA,NA
NLA17_MT_10012,14.8,NA,NA
NLA17_MT_10013,8.7,NA,NA
NLA17_MT_10014,1.36,NA,NA
NLA17_MT_10015,0.68,NA,NA
NLA17_MT_10018,13.19,NA,NA
NLA17_MT_10022,27.12,NA,NA
NLA17_MT_10023,54.33,NA,NA
NLA17_MT_10029,13.61,NA,NA
NLA17_MT_10030,17.73,NA,NA
NLA17_MT_10036,6.35,NA,NA
NLA17_MT_10036,6.49,NA,NA
NLA17_MT_10055,22.29,NA,NA
NLA17_MT_10059,13.42,NA,NA
NLA17_MT_10065,15.62,NA,NA
NLA17_MT_10072,0.86,NA,NA
NLA17_MT_10076,13.16,NA,NA
NLA17_MT_10084,14.58,NA,NA
NLA17_MT_10101,1.4,NA,NA
NLA17_MT_10102,4.9,NA,NA
NLA17_MT_10104,4.34,NA,NA
NLA17_MT_10120,7.58,NA,NA
NLA17_MT_10129,30.52,NA,NA
NLA17_MT_HP001,33.35,NA,NA
NLA17_MT_HP002,3.27,NA,NA
NLA17_NC_10001,1.88,NA,NA
NLA17_NC_10001,1.9,NA,NA
NLA17_NC_10002,1.01,NA,NA
NLA17_NC_10004,1.77,NA,NA
NLA17_NC_10004,1.75,NA,NA
NLA17_NC_10005,13.83,NA,NA
NLA17_NC_10007,2.4,NA,NA
NLA17_NC_10009,5.41,NA,NA
NLA17_NC_10010,18.04,NA,NA
NLA17_NC_10011,5.12,NA,NA
NLA17_NC_10014,7.07,NA,NA
NLA17_NC_10015,11.11,NA,NA
NLA17_NC_10023,5.72,NA,NA
NLA17_NC_10030,1.95,NA,NA
NLA17_NC_10033,4.59,NA,NA
NLA17_ND_10001,16.76,NA,NA
NLA17_ND_10001,18.17,NA,NA
NLA17_ND_10002,32.89,NA,NA
NLA17_ND_10003,18.48,NA,NA
NLA17_ND_10004,25.2,NA,NA
NLA17_ND_10005,34.55,NA,NA
NLA17_ND_10006,27.19,NA,NA
NLA17_ND_10007,17.51,NA,NA
NLA17_ND_10008,27.45,NA,NA
NLA17_ND_10008,30.58,NA,NA
NLA17_ND_10009,38.37,NA,NA
NLA17_ND_10010,24.24,NA,NA
NLA17_ND_10011,27.17,NA,NA
NLA17_ND_10012,13.07,NA,NA
NLA17_ND_10013,27.09,NA,NA
NLA17_ND_10014,11.77,NA,NA
NLA17_ND_10015,17.13,NA,NA
NLA17_ND_10016,31.51,NA,NA
NLA17_ND_10017,28.08,NA,NA
NLA17_ND_10018,25.02,NA,NA
NLA17_ND_10019,32,NA,NA
NLA17_ND_10020,33.5,NA,NA
NLA17_ND_10021,11.53,NA,NA
NLA17_ND_10023,18.85,NA,NA
NLA17_ND_10024,15.12,NA,NA
NLA17_ND_10026,43.74,NA,NA
NLA17_ND_10029,29.84,NA,NA
NLA17_ND_10032,29.06,NA,NA
NLA17_ND_10033,47.79,NA,NA
NLA17_ND_10034,17.3,NA,NA
NLA17_ND_10035,27.05,NA,NA
NLA17_ND_10037,30.33,NA,NA
NLA17_ND_10042,62.28,NA,NA
NLA17_ND_10069,36.49,NA,NA
NLA17_ND_10070,28.72,NA,NA
NLA17_ND_10073,28.95,NA,NA
NLA17_ND_10077,14.81,NA,NA
NLA17_ND_10081,17.74,NA,NA
NLA17_ND_10082,19.79,NA,NA
NLA17_ND_10084,30.75,NA,NA
NLA17_ND_10089,30.96,NA,NA
NLA17_ND_10090,13.64,NA,NA
NLA17_ND_10095,27.33,NA,NA
NLA17_ND_10100,32.03,NA,NA
NLA17_ND_10102,27.89,NA,NA
NLA17_ND_10103,13.24,NA,NA
NLA17_ND_10107,62.1,NA,NA
NLA17_ND_10189,23.6,NA,NA
NLA17_ND_HP001,10.67,NA,NA
NLA17_ND_HP002,14.61,NA,NA
NLA17_NE_10001,6.57,NA,NA
NLA17_NE_10001,5.63,NA,NA
NLA17_NE_10002,21.05,NA,NA
NLA17_NE_10003,2.3,NA,NA
NLA17_NE_10004,13.88,NA,NA
NLA17_NE_10006,32.64,NA,NA
NLA17_NE_10007,5.61,NA,NA
NLA17_NE_10007,5.4,NA,NA
NLA17_NE_10008,41.96,NA,NA
NLA17_NE_10011,46.71,NA,NA
NLA17_NE_10012,3.34,NA,NA
NLA17_NE_10014,23.95,NA,NA
NLA17_NE_10025,163.41,NA,NA
NLA17_NE_10028,8.22,NA,NA
NLA17_NE_10029,1.85,NA,NA
NLA17_NE_10032,17.3,NA,NA
NLA17_NE_10037,19.96,NA,NA
NLA17_NE_10038,4.1,NA,NA
NLA17_NE_10040,7.74,NA,NA
NLA17_NE_10041,10.71,NA,NA
NLA17_NE_10046,19.48,NA,NA
NLA17_NE_10047,6.63,NA,NA
NLA17_NE_10054,5.26,NA,NA
