PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,STUDY,STATE,LAB,SAMPLE_TYPE,MATRIX,BATCH_ID,ANALYTE,SAM_CODE,RESULT,RESULT_UNITS,MDL,RL,NARS_FLAG,DATE_RECEIVED,DATE_ANALYZED,HOLDING_TIME,LAB_SAMPLE_ID,LAB_COMMENT
4/9/2021,2010524,NLA17_CO-10010,18-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170804.1,DOC,REGULAR,1.12,MG/L,0.008,0.2,,20-Jul-17,04-Aug-17,17,,
4/9/2021,2010619,NLA17_CO-10011,27-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170814.1,DOC,REGULAR,0.8,MG/L,0.008,0.2,,29-Jul-17,14-Aug-17,18,,
4/9/2021,2010562,NLA17_CO-10019,23-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170809.1,DOC,REGULAR,2.79,MG/L,0.008,0.2,,25-Jul-17,09-Aug-17,17,,
4/9/2021,2010623,NLA17_CO-10020,27-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170814.1,DOC,REGULAR,0.93,MG/L,0.008,0.2,,29-Jul-17,14-Aug-17,18,,
4/9/2021,2010636,NLA17_CO-10022,31-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170814.1,DOC,REGULAR,5.22,MG/L,0.008,0.2,,01-Aug-17,14-Aug-17,14,,
4/9/2021,2010440,NLA17_CO-10024,11-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170728.1,DOC,REGULAR,3.65,MG/L,0.008,0.2,,12-Jul-17,28-Jul-17,17,,Ice in cubitainer
4/9/2021,2010580,NLA17_CO-10024,25-Jul-17,2,NLA,CO,WRS,CHEM,WATER,170809.1,DOC,REGULAR,3.45,MG/L,0.008,0.2,,26-Jul-17,09-Aug-17,15,,
4/9/2021,2010504,NLA17_CO-10037,17-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170804.1,DOC,REGULAR,8.49,MG/L,0.008,0.2,,19-Jul-17,04-Aug-17,18,,
4/9/2021,2010539,NLA17_CO-10038,20-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170807.1,DOC,REGULAR,1.63,MG/L,0.008,0.2,,21-Jul-17,07-Aug-17,18,,
4/9/2021,2010624,NLA17_CO-10043,26-Jul-17,1,NLA,CO,WRS,CHEM,WATER,170814.1,DOC,REGULAR,1.17,MG/L,0.008,0.2,S,29-Jul-17,14-Aug-17,19,,
